code,dt_date,no2_daily,dt_year,dt_weekdays,week_group
GHSR,2022-09-17,28.497183333333332,2022,Saturday,Weekends
GHSR,2022-09-18,20.917998333333333,2022,Sunday,Weekends
GHSR,2022-09-19,20.33545416666667,2022,Monday,Other Weekdays
GHSR,2022-09-20,22.063272916666666,2022,Tuesday,Core Weekdays
GHSR,2022-09-21,19.371742083333334,2022,Wednesday,Core Weekdays
GHSR,2022-09-22,26.7780025,2022,Thursday,Core Weekdays
GHSR,2022-09-23,33.49686875,2022,Friday,Other Weekdays
GHSR,2022-09-24,30.11026875,2022,Saturday,Weekends
GHSR,2022-09-25,15.889236666666665,2022,Sunday,Weekends
GHSR,2022-09-26,23.71291,2022,Monday,Other Weekdays
GHSR,2022-09-27,25.641195,2022,Tuesday,Core Weekdays
GHSR,2022-09-28,32.84252458333333,2022,Wednesday,Core Weekdays
GHSR,2022-09-29,31.303549166666667,2022,Thursday,Core Weekdays
GHSR,2022-09-30,11.944737916666666,2022,Friday,Other Weekdays
GHSR,2022-10-01,13.95388,2022,Saturday,Weekends
GHSR,2022-10-02,19.458660416666667,2022,Sunday,Weekends
GHSR,2022-10-03,12.816865833333333,2022,Monday,Other Weekdays
GHSR,2022-10-04,17.87985125,2022,Tuesday,Core Weekdays
GHSR,2022-10-05,16.266053333333332,2022,Wednesday,Core Weekdays
GHSR,2022-10-06,10.578809583333333,2022,Thursday,Core Weekdays
GHSR,2022-10-07,19.64043,2022,Friday,Other Weekdays
GHSR,2022-10-08,18.397704166666667,2022,Saturday,Weekends
GHSR,2022-10-09,9.575440833333333,2022,Sunday,Weekends
GHSR,2022-10-10,25.0820075,2022,Monday,Other Weekdays
GHSR,2022-10-11,17.651203333333335,2022,Tuesday,Core Weekdays
GHSR,2022-10-12,27.378545,2022,Wednesday,Core Weekdays
GHSR,2022-10-13,24.624086249999998,2022,Thursday,Core Weekdays
GHSR,2022-10-14,25.007075416666666,2022,Friday,Other Weekdays
GHSR,2022-10-15,11.136267916666666,2022,Saturday,Weekends
GHSR,2022-10-16,13.77183125,2022,Sunday,Weekends
GHSR,2022-10-17,13.313686956521739,2022,Monday,Other Weekdays
GHSR,2022-10-18,22.0079875,2022,Tuesday,Core Weekdays
GHSR,2022-10-19,9.475408260869566,2022,Wednesday,Core Weekdays
GHSR,2022-10-20,13.604520833333334,2022,Thursday,Core Weekdays
GHSR,2022-10-21,17.625987916666666,2022,Friday,Other Weekdays
GHSR,2022-10-22,18.68062875,2022,Saturday,Weekends
GHSR,2022-10-23,16.32901375,2022,Sunday,Weekends
GHSR,2022-10-24,23.380871666666668,2022,Monday,Other Weekdays
GHSR,2022-10-25,15.35076375,2022,Tuesday,Core Weekdays
GHSR,2022-10-26,10.593304583333333,2022,Wednesday,Core Weekdays
GHSR,2022-10-27,24.29050416666667,2022,Thursday,Core Weekdays
GHSR,2022-10-28,13.290463749999999,2022,Friday,Other Weekdays
GHSR,2022-10-29,17.24470625,2022,Saturday,Weekends
GHSR,2022-10-30,10.111644583333334,2022,Sunday,Weekends
GHSR,2022-10-31,13.363287916666668,2022,Monday,Other Weekdays
GHSR,2022-11-01,18.887520416666668,2022,Tuesday,Core Weekdays
GHSR,2022-11-02,11.222909166666668,2022,Wednesday,Core Weekdays
GHSR,2022-11-03,29.74749043478261,2022,Thursday,Core Weekdays
GHSR,2022-11-04,39.7761075,2022,Friday,Other Weekdays
GHSR,2022-11-05,32.024903333333334,2022,Saturday,Weekends
GHSR,2022-11-06,17.38231125,2022,Sunday,Weekends
GHSR,2022-11-07,12.592429583333333,2022,Monday,Other Weekdays
GHSR,2022-11-08,19.34171625,2022,Tuesday,Core Weekdays
GHSR,2022-11-09,11.785863749999999,2022,Wednesday,Core Weekdays
GHSR,2022-11-10,6.903167083333333,2022,Thursday,Core Weekdays
GHSR,2022-11-11,12.603967500000001,2022,Friday,Other Weekdays
GHSR,2022-11-12,20.72205375,2022,Saturday,Weekends
GHSR,2022-11-13,18.23064,2022,Sunday,Weekends
GHSR,2022-11-14,19.618824583333332,2022,Monday,Other Weekdays
GHSR,2022-11-15,26.785242916666668,2022,Tuesday,Core Weekdays
GHSR,2022-11-16,29.161879130434784,2022,Wednesday,Core Weekdays
GHSR,2022-11-17,28.582919166666667,2022,Thursday,Core Weekdays
GHSR,2022-11-18,31.290285833333336,2022,Friday,Other Weekdays
GHSR,2022-11-19,24.528176666666667,2022,Saturday,Weekends
GHSR,2022-11-20,34.97659708333333,2022,Sunday,Weekends
GHSR,2022-11-21,20.974797083333332,2022,Monday,Other Weekdays
GHSR,2022-11-22,40.80623541666667,2022,Tuesday,Core Weekdays
GHSR,2022-11-23,23.479139166666666,2022,Wednesday,Core Weekdays
GHSR,2022-11-24,17.880053750000002,2022,Thursday,Core Weekdays
GHSR,2022-11-25,15.290963333333332,2022,Friday,Other Weekdays
GHSR,2022-11-26,10.302124166666667,2022,Saturday,Weekends
GHSR,2022-11-27,11.577089166666667,2022,Sunday,Weekends
GHSR,2022-11-28,46.27468666666667,2022,Monday,Other Weekdays
GHSR,2022-11-29,42.95395416666667,2022,Tuesday,Core Weekdays
GHSR,2022-11-30,39.43066291666667,2022,Wednesday,Core Weekdays
GHSR,2022-12-01,10.219506666666666,2022,Thursday,Core Weekdays
GHSR,2022-12-02,NA,2022,Friday,Other Weekdays
GHSR,2022-12-03,NA,2022,Saturday,Weekends
GHSR,2022-12-04,NA,2022,Sunday,Weekends
GHSR,2022-12-05,NA,2022,Monday,Other Weekdays
GHSR,2022-12-06,NA,2022,Tuesday,Core Weekdays
GHSR,2022-12-07,NA,2022,Wednesday,Core Weekdays
GHSR,2022-12-08,NA,2022,Thursday,Core Weekdays
